[2026-07-03 10:31:08] [NodeB] [main] [INFO] Starting NodeB on port 7002
NodeB-vnode-0 -> 1321808847
NodeB-vnode-1 -> 1704796036
NodeA-vnode-0 -> 3666113118
NodeA-vnode-1 -> 1566572255
NodeC-vnode-0 -> 725020868
NodeC-vnode-1 -> 2661147323
[2026-07-03 10:31:08] [NodeB] [main] [INFO] HeartbeatManager started (interval=1000ms)
[2026-07-03 10:31:36] [NodeB] [pool-1-thread-21] [INFO] Client connected: /127.0.0.1:47348
[2026-07-03 10:31:36] [NodeB] [pool-1-thread-22] [INFO] Client connected: /127.0.0.1:47350
[2026-07-03 10:31:37] [NodeB] [pool-1-thread-23] [INFO] Client connected: /127.0.0.1:47366
[2026-07-03 10:31:37] [NodeB] [pool-1-thread-24] [INFO] Client connected: /127.0.0.1:47372
[2026-07-03 10:31:37] [NodeB] [pool-1-thread-25] [INFO] Client connected: /127.0.0.1:47380
[2026-07-03 10:31:38] [NodeB] [pool-1-thread-26] [INFO] Client connected: /127.0.0.1:47386
[2026-07-03 10:31:38] [NodeB] [pool-1-thread-27] [INFO] Client connected: /127.0.0.1:47392
[2026-07-03 10:31:39] [NodeB] [pool-1-thread-28] [INFO] Client connected: /127.0.0.1:47402
[2026-07-03 10:31:39] [NodeB] [pool-1-thread-29] [INFO] Client connected: /127.0.0.1:47414
[2026-07-03 10:31:39] [NodeB] [pool-1-thread-30] [INFO] Client connected: /127.0.0.1:47420
[2026-07-03 10:31:40] [NodeB] [pool-1-thread-31] [INFO] Client connected: /127.0.0.1:47432
[2026-07-03 10:31:40] [NodeB] [pool-1-thread-32] [INFO] Client connected: /127.0.0.1:47446
[2026-07-03 10:31:41] [NodeB] [pool-1-thread-33] [INFO] Client connected: /127.0.0.1:47458
[2026-07-03 10:31:41] [NodeB] [pool-1-thread-34] [INFO] Client connected: /127.0.0.1:47462
[2026-07-03 10:31:41] [NodeB] [pool-1-thread-35] [INFO] Client connected: /127.0.0.1:47466
[2026-07-03 10:31:42] [NodeB] [pool-1-thread-36] [INFO] Client connected: /127.0.0.1:47480
[2026-07-03 10:31:42] [NodeB] [pool-1-thread-37] [INFO] Client connected: /127.0.0.1:47484
[2026-07-03 10:31:43] [NodeB] [pool-1-thread-38] [INFO] Client connected: /127.0.0.1:47490
[2026-07-03 10:31:43] [NodeB] [pool-1-thread-39] [INFO] Client connected: /127.0.0.1:47492
[2026-07-03 10:31:43] [NodeB] [pool-1-thread-40] [INFO] Client connected: /127.0.0.1:47502
