[2026-07-03 10:31:08] [NodeC] [main] [INFO] Starting NodeC on port 7003
NodeC-vnode-0 -> 725020868
NodeC-vnode-1 -> 2661147323
NodeA-vnode-0 -> 3666113118
NodeA-vnode-1 -> 1566572255
NodeB-vnode-0 -> 1321808847
NodeB-vnode-1 -> 1704796036
[2026-07-03 10:31:08] [NodeC] [main] [INFO] HeartbeatManager started (interval=1000ms)
[2026-07-03 10:32:24] [NodeC] [pool-1-thread-23] [INFO] Client connected: /127.0.0.1:59194
[2026-07-03 10:32:24] [NodeC] [pool-1-thread-24] [INFO] Client connected: /127.0.0.1:59198
[2026-07-03 10:32:25] [NodeC] [pool-1-thread-25] [INFO] Client connected: /127.0.0.1:59208
[2026-07-03 10:32:25] [NodeC] [pool-1-thread-26] [INFO] Client connected: /127.0.0.1:59220
[2026-07-03 10:32:26] [NodeC] [pool-1-thread-27] [INFO] Client connected: /127.0.0.1:59232
[2026-07-03 10:32:26] [NodeC] [pool-1-thread-28] [INFO] Client connected: /127.0.0.1:59238
[2026-07-03 10:32:27] [NodeC] [pool-1-thread-29] [INFO] Client connected: /127.0.0.1:59248
[2026-07-03 10:32:27] [NodeC] [pool-1-thread-30] [INFO] Client connected: /127.0.0.1:59264
[2026-07-03 10:32:28] [NodeC] [pool-1-thread-31] [INFO] Client connected: /127.0.0.1:59280
[2026-07-03 10:32:28] [NodeC] [pool-1-thread-32] [INFO] Client connected: /127.0.0.1:59288
[2026-07-03 10:32:29] [NodeC] [pool-1-thread-33] [INFO] Client connected: /127.0.0.1:59304
[2026-07-03 10:32:29] [NodeC] [pool-1-thread-34] [INFO] Client connected: /127.0.0.1:59320
[2026-07-03 10:32:30] [NodeC] [pool-1-thread-35] [INFO] Client connected: /127.0.0.1:59334
[2026-07-03 10:32:30] [NodeC] [pool-1-thread-36] [INFO] Client connected: /127.0.0.1:59340
[2026-07-03 10:32:31] [NodeC] [pool-1-thread-37] [INFO] Client connected: /127.0.0.1:59354
[2026-07-03 10:32:31] [NodeC] [pool-1-thread-38] [INFO] Client connected: /127.0.0.1:59370
[2026-07-03 10:32:32] [NodeC] [pool-1-thread-39] [INFO] Client connected: /127.0.0.1:59378
[2026-07-03 10:32:32] [NodeC] [pool-1-thread-40] [INFO] Client connected: /127.0.0.1:59380
[2026-07-03 10:32:33] [NodeC] [pool-1-thread-41] [INFO] Client connected: /127.0.0.1:59388
[2026-07-03 10:32:33] [NodeC] [pool-1-thread-42] [INFO] Client connected: /127.0.0.1:59404
[2026-07-03 10:32:34] [NodeC] [pool-1-thread-43] [INFO] Client connected: /127.0.0.1:51340
[2026-07-03 10:32:34] [NodeC] [pool-1-thread-44] [INFO] Client connected: /127.0.0.1:51356
[2026-07-03 10:32:35] [NodeC] [pool-1-thread-45] [INFO] Client connected: /127.0.0.1:51358
[2026-07-03 10:32:35] [NodeC] [pool-1-thread-46] [INFO] Client connected: /127.0.0.1:51360
[2026-07-03 10:32:36] [NodeC] [pool-1-thread-47] [INFO] Client connected: /127.0.0.1:51366
[2026-07-03 10:32:36] [NodeC] [pool-1-thread-48] [INFO] Client connected: /127.0.0.1:51368
[2026-07-03 10:32:37] [NodeC] [pool-1-thread-49] [INFO] Client connected: /127.0.0.1:51370
[2026-07-03 10:32:37] [NodeC] [pool-1-thread-50] [INFO] Client connected: /127.0.0.1:51384
[2026-07-03 10:32:38] [NodeC] [pool-1-thread-1] [INFO] Client connected: /127.0.0.1:51386
[2026-07-03 10:32:38] [NodeC] [pool-1-thread-2] [INFO] Client connected: /127.0.0.1:51398
[2026-07-03 10:32:39] [NodeC] [pool-1-thread-3] [INFO] Client connected: /127.0.0.1:51412
[2026-07-03 10:32:39] [NodeC] [pool-1-thread-4] [INFO] Client connected: /127.0.0.1:51414
[2026-07-03 10:32:40] [NodeC] [pool-1-thread-5] [INFO] Client connected: /127.0.0.1:51430
[2026-07-03 10:32:40] [NodeC] [pool-1-thread-6] [INFO] Client connected: /127.0.0.1:51434
[2026-07-03 10:32:41] [NodeC] [pool-1-thread-7] [INFO] Client connected: /127.0.0.1:51450
