[2026-07-03 10:31:07] [NodeA] [main] [INFO] Starting NodeA on port 7001
NodeA-vnode-0 -> 3666113118
NodeA-vnode-1 -> 1566572255
NodeB-vnode-0 -> 1321808847
NodeB-vnode-1 -> 1704796036
NodeC-vnode-0 -> 725020868
NodeC-vnode-1 -> 2661147323
[2026-07-03 10:31:07] [NodeA] [main] [INFO] HeartbeatManager started (interval=1000ms)
[2026-07-03 10:31:41] [NodeA] [pool-1-thread-37] [INFO] Client connected: /127.0.0.1:48520
[2026-07-03 10:31:41] [NodeA] [pool-1-thread-38] [INFO] Client connected: /127.0.0.1:48530
[2026-07-03 10:31:41] [NodeA] [pool-1-thread-39] [INFO] Client connected: /127.0.0.1:48532
[2026-07-03 10:31:42] [NodeA] [pool-1-thread-40] [INFO] Client connected: /127.0.0.1:48536
[2026-07-03 10:31:42] [NodeA] [pool-1-thread-41] [INFO] Client connected: /127.0.0.1:48544
[2026-07-03 10:31:43] [NodeA] [pool-1-thread-42] [INFO] Client connected: /127.0.0.1:48550
[2026-07-03 10:31:43] [NodeA] [pool-1-thread-43] [INFO] Client connected: /127.0.0.1:48564
[2026-07-03 10:31:43] [NodeA] [pool-1-thread-44] [INFO] Client connected: /127.0.0.1:48576
[2026-07-03 10:31:44] [NodeA] [pool-1-thread-45] [INFO] Client connected: /127.0.0.1:38838
[2026-07-03 10:31:44] [NodeA] [pool-1-thread-46] [INFO] Client connected: /127.0.0.1:38848
[2026-07-03 10:31:44] [NodeA] [pool-1-thread-47] [INFO] Client connected: /127.0.0.1:38854
[2026-07-03 10:31:45] [NodeA] [pool-1-thread-48] [INFO] Client connected: /127.0.0.1:38868
[2026-07-03 10:31:45] [NodeA] [pool-1-thread-49] [INFO] Client connected: /127.0.0.1:38870
[2026-07-03 10:31:45] [NodeA] [pool-1-thread-50] [INFO] Client connected: /127.0.0.1:38872
[2026-07-03 10:31:46] [NodeA] [pool-1-thread-1] [INFO] Client connected: /127.0.0.1:38878
[2026-07-03 10:31:46] [NodeA] [pool-1-thread-2] [INFO] Client connected: /127.0.0.1:38888
[2026-07-03 10:31:47] [NodeA] [pool-1-thread-3] [INFO] Client connected: /127.0.0.1:38894
[2026-07-03 10:31:47] [NodeA] [pool-1-thread-4] [INFO] Client connected: /127.0.0.1:38906
[2026-07-03 10:31:47] [NodeA] [pool-1-thread-5] [INFO] Client connected: /127.0.0.1:38912
